姓名,國文,英文,數學,地理,歷史
葉志峰,67,61,73,82,64
彭茹靖,87,93,53,66,58
吳志宣,79,74,70,62,55
黃詩妃,68,97,76,93,86
陳向愛,100,96,56,51,90
張凱妮,93,93,55,60,59
張嘉韋,62,95,71,56,79
黃嘉琪,58,60,89,69,76
郭淑真,67,78,64,68,60
林佳光,55,85,98,97,77
高智超,65,65,81,69,79
張牧聿,58,52,66,61,89
溫重意,97,88,68,53,87
馬彥文,59,71,85,53,65
黃健發,55,84,98,86,87
陳淑娟,58,100,90,80,71
謝貞妃,62,67,98,98,81
李慶亮,84,98,97,89,53
吳淑惠,84,87,96,69,73
楊綺芬,95,85,59,50,57
張俊傑,71,78,66,94,75
林珍旺,53,82,72,79,100
郎慧萍,65,51,50,62,83
趙偉銘,86,82,58,56,71
游倫城,71,90,60,71,81
吳麗卿,58,94,55,72,72
艾巧夫,100,68,61,61,66
王泓泰,56,55,84,72,66
鄭奇翰,80,57,85,56,63
戴萱能,70,97,70,50,100
程玫靖,73,88,90,99,84
謝哲維,68,66,73,76,74
張伊映,98,64,82,80,81
吳欣書,95,92,86,91,55
藍哲嘉,68,74,91,73,85
林向鈺,72,80,69,53,55
陳淑娟,95,51,60,93,88
王雅慧,50,76,97,57,79
劉嘉泰,96,57,55,71,95
陳倩妮,61,71,95,73,97
藍哲嘉,84,51,99,100,65
呂傑宣,85,52,77,64,82
鍾俞禎,58,97,50,85,83
溫重意,57,50,58,91,57
鄭奇翰,73,66,75,62,87
魏秋萍,65,91,64,72,79
魏秋萍,79,100,71,92,64
李政成,66,64,95,60,57
張明惟,58,61,60,60,93
王雅慧,77,67,79,61,55
